val_metric,test_metric,test_acc,test_f1,test_bacc,epochs,time_s,architecture,task,task_type,test_mae,test_rmse
0.9991207260408003,0.999116627737288,,,,44,68.05681657791138,SqueezeExcite_128x2,temperature_regression,regression,0.21733648733231764,0.2964255594869765
0.9993835817598942,0.9993956929545829,,,,71,128.45001792907715,SqueezeExcite_64x3,temperature_regression,regression,0.18547222081599413,0.24517297545082645
0.9995904484813585,0.9996105716358298,,,,115,300.45034074783325,MultiScale_128x2,temperature_regression,regression,0.13442849995405584,0.19681471203865358
0.9993332207544788,0.999376880589346,,,,78,297.0460205078125,MultiScale_64x3,temperature_regression,regression,0.1981849205443153,0.24895990465815931
0.37571399492540125,0.35681831177768336,,,,92,255.6709566116333,FeatureCross_128x2,multi_output_regression,regression,16.270465234755278,88.09561519795987
0.3565720372762217,0.3261530107688235,,,,84,251.8299651145935,FeatureCross_64x3,multi_output_regression,regression,18.260873453149603,89.65731665891857
0.37865863836109154,0.3589285947298616,,,,85,144.60420393943787,SqueezeExcite_128x2,multi_output_regression,regression,20.16888295443128,88.72804093150862
0.37725455772845395,0.3592509536483807,,,,65,113.3604040145874,SqueezeExcite_64x3,multi_output_regression,regression,17.706320484614487,89.46773970466145
0.38786724420370433,0.36856175371652333,,,,86,238.1236503124237,MultiScale_128x2,multi_output_regression,regression,17.787969593621128,88.63377620961734
0.37101819699735333,0.35430837853020936,,,,50,164.0814390182495,MultiScale_64x3,multi_output_regression,regression,21.04392975111266,89.6138894015633
0.4947897702275298,0.7549939760028302,0.502,0.48491955097335193,0.4808931180704224,34,105.53891968727112,FeatureCross_128x2,weather_classification,multiclass,,
0.521421054754491,0.766715291038517,0.51725,0.5124856663057777,0.511737132892736,94,333.94538712501526,FeatureCross_64x3,weather_classification,multiclass,,
0.4868856714129204,0.7595025655406457,0.50575,0.49830496346301717,0.49299393049942375,61,122.4560477733612,SqueezeExcite_128x2,weather_classification,multiclass,,
0.4791333095526834,0.7544078307104012,0.498,0.47214733306760404,0.47052930694750417,53,121.20594048500061,SqueezeExcite_64x3,weather_classification,multiclass,,
0.49189343480280256,0.7578422373007551,0.50525,0.49707768344477715,0.4907863414081734,72,258.30598616600037,MultiScale_128x2,weather_classification,multiclass,,
0.4887222701287116,0.7544912645122096,0.484,0.48503992132107976,0.4852085598238566,47,205.7936074733734,MultiScale_64x3,weather_classification,multiclass,,
0.9712594312878157,0.9582537597916184,,,,72,273.7137916088104,FeatureCross_128x2,wind_forecasting,regression,0.03176562998153708,0.05257296304958364
0.9712322685314257,0.9584589771505171,,,,76,336.11853551864624,FeatureCross_64x3,wind_forecasting,regression,0.03162331618081554,0.05244358401641241
