Model,Scaler,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Naive Bayes,RobustScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
Naive Bayes,MinMaxScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
Naive Bayes,StandardScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
KNN (k=5),NoScaling,0.735632183908046,0.7093023255813954,0.7439024390243902,0.7261904761904762,0.7935445387062565
KNN (k=5),MinMaxScaler,0.7327586206896551,0.7204968944099379,0.7073170731707317,0.7138461538461538,0.7925172322375398
SVM (Sigmoid),StandardScaler,0.7787356321839081,0.7543859649122807,0.7865853658536586,0.7701492537313432,0.777091065747614
KNN (k=3),MinMaxScaler,0.7241379310344828,0.7207792207792207,0.676829268292683,0.6981132075471698,0.7755003976670201
KNN (k=3),NoScaling,0.7327586206896551,0.6983240223463687,0.7621951219512195,0.7288629737609329,0.7739925768822906
Decision Tree,NoScaling,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,StandardScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,MinMaxScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,RobustScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
SVM (Sigmoid),RobustScaler,0.6666666666666666,0.6428571428571429,0.6585365853658537,0.6506024096385542,0.7132655090137858
SVM (Sigmoid),MinMaxScaler,0.5459770114942529,0.5168539325842697,0.5609756097560976,0.5380116959064327,0.5324264316012726
SVM (Sigmoid),NoScaling,0.5402298850574713,0.510752688172043,0.5792682926829268,0.5428571428571428,0.41542948038176036
Voting (Hard),StandardScaler,0.8218390804597702,0.8269230769230769,0.7865853658536586,0.80625,
