Model,Scaler,Accuracy,Precision,Recall,F1-Score,AUC-ROC
LightGBM,NoScaling,0.8304597701149425,0.8343949044585988,0.7987804878048781,0.8161993769470405,0.8848091198303287
Logistic Regression,NoScaling,0.8390804597701149,0.813953488372093,0.8536585365853658,0.8333333333333334,0.8827213679745494
SVM (Linear),StandardScaler,0.8304597701149425,0.8181818181818182,0.823170731707317,0.8206686930091185,0.8824728260869564
LightGBM,StandardScaler,0.8103448275862069,0.8141025641025641,0.774390243902439,0.79375,0.8820254506892895
SVM (Linear),RobustScaler,0.8362068965517241,0.8282208588957055,0.823170731707317,0.8256880733944955,0.8816609225874866
Logistic Regression,StandardScaler,0.8275862068965517,0.8170731707317073,0.8170731707317073,0.8170731707317073,0.8800039766702015
Logistic Regression,RobustScaler,0.8304597701149425,0.8220858895705522,0.8170731707317073,0.8195718654434251,0.8798382820784729
AdaBoost,RobustScaler,0.7988505747126436,0.8051948051948052,0.7560975609756098,0.779874213836478,0.8711558854718982
SVM (Polynomial),MinMaxScaler,0.8247126436781609,0.8047337278106509,0.8292682926829268,0.8168168168168168,0.8709404825026511
AdaBoost,StandardScaler,0.7988505747126436,0.8051948051948052,0.7560975609756098,0.779874213836478,0.8709239130434783
AdaBoost,NoScaling,0.7988505747126436,0.8051948051948052,0.7560975609756098,0.779874213836478,0.8709239130434783
AdaBoost,MinMaxScaler,0.7988505747126436,0.8051948051948052,0.7560975609756098,0.779874213836478,0.8709239130434783
SVM (RBF),MinMaxScaler,0.7959770114942529,0.7719298245614035,0.8048780487804879,0.7880597014925373,0.8623906415694592
SVM (Linear),MinMaxScaler,0.8045977011494253,0.7823529411764706,0.8109756097560976,0.7964071856287425,0.857237539766702
KNN (k=5),StandardScaler,0.7787356321839081,0.7668711656441718,0.7621951219512195,0.764525993883792,0.8412480116648993
Logistic Regression,MinMaxScaler,0.7988505747126436,0.7701149425287356,0.8170731707317073,0.7928994082840237,0.8386466065747614
KNN (k=7),RobustScaler,0.7586206896551724,0.7439024390243902,0.7439024390243902,0.7439024390243902,0.8365754241781548
SVM (RBF),NoScaling,0.7528735632183908,0.7468354430379747,0.7195121951219512,0.7329192546583851,0.831273197242842
KNN (k=7),StandardScaler,0.7586206896551724,0.7380952380952381,0.7560975609756098,0.7469879518072289,0.8310412248144221
SVM (Polynomial),RobustScaler,0.617816091954023,0.5584905660377358,0.9024390243902439,0.6899766899766899,0.828804347826087
KNN (k=5),RobustScaler,0.764367816091954,0.75,0.75,0.75,0.8266834570519619
SVM (Polynomial),StandardScaler,0.7902298850574713,0.7541899441340782,0.823170731707317,0.7871720116618076,0.8266834570519619
SVM (Polynomial),NoScaling,0.75,0.8235294117647058,0.5975609756097561,0.6925795053003534,0.8230713149522799
KNN (k=3),StandardScaler,0.7672413793103449,0.7485029940119761,0.7621951219512195,0.7552870090634441,0.8194426033934252
KNN (k=3),RobustScaler,0.7614942528735632,0.7484662576687117,0.7439024390243902,0.746177370030581,0.8061207582184517
Naive Bayes,NoScaling,0.7040229885057471,0.6445497630331753,0.8292682926829268,0.7253333333333334,0.7971401113467657
Naive Bayes,RobustScaler,0.6982758620689655,0.6384976525821596,0.8292682926829268,0.7214854111405835,0.7959802492046661
Naive Bayes,StandardScaler,0.6982758620689655,0.6384976525821596,0.8292682926829268,0.7214854111405835,0.7959802492046661
Naive Bayes,MinMaxScaler,0.6982758620689655,0.6384976525821596,0.8292682926829268,0.7214854111405835,0.7959802492046661
SVM (Sigmoid),StandardScaler,0.7787356321839081,0.7457627118644068,0.8048780487804879,0.7741935483870968,0.7954334570519619
KNN (k=7),MinMaxScaler,0.7270114942528736,0.7090909090909091,0.7134146341463414,0.7112462006079028,0.7954334570519619
KNN (k=7),NoScaling,0.7298850574712644,0.6944444444444444,0.7621951219512195,0.7267441860465116,0.7945552757158005
KNN (k=5),NoScaling,0.7097701149425287,0.6759776536312849,0.7378048780487805,0.7055393586005831,0.7733960763520679
KNN (k=5),MinMaxScaler,0.7126436781609196,0.6904761904761905,0.7073170731707317,0.6987951807228916,0.7669505567338282
KNN (k=3),MinMaxScaler,0.7241379310344828,0.7125,0.6951219512195121,0.7037037037037037,0.7636532343584306
SVM (Sigmoid),RobustScaler,0.7212643678160919,0.6982248520710059,0.7195121951219512,0.7087087087087087,0.7593783138918345
KNN (k=3),NoScaling,0.7183908045977011,0.6918604651162791,0.725609756097561,0.7083333333333334,0.7540760869565217
Decision Tree,StandardScaler,0.7385057471264368,0.7212121212121212,0.725609756097561,0.723404255319149,0.7028267497348886
Decision Tree,MinMaxScaler,0.7385057471264368,0.7212121212121212,0.725609756097561,0.723404255319149,0.7028267497348886
Decision Tree,NoScaling,0.7327586206896551,0.7151515151515152,0.7195121951219512,0.7173252279635258,0.6940780752916225
Decision Tree,RobustScaler,0.7327586206896551,0.7151515151515152,0.7195121951219512,0.7173252279635258,0.6940780752916225
SVM (Sigmoid),NoScaling,0.5890804597701149,0.5555555555555556,0.6402439024390244,0.5949008498583569,0.6234093319194062
SVM (Sigmoid),MinMaxScaler,0.5545977011494253,0.5254237288135594,0.5670731707317073,0.5454545454545454,0.5426166489925769
